Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Disappearing liver metastases: A systematic review of the current evidence.","/pubmed/31196496","Tsilimigras DI, Ntanasis-Stathopoulos I, Paredes AZ, Moris D, Gavriatopoulou M, Cloyd JM, Pawlik TM.","Surg Oncol. 2019 Jun;29:7-13. doi: 10.1016/j.suronc.2019.02.005. Epub 2019 Feb 11.","Surg Oncol.  2019","PubMed","citation","PMID:31196496","pubmed","31196496","create date:2019/06/15 | first author:Tsilimigras DI",
"Prognostic factors for survival in stage IV rectal cancer: A Swedish nationwide case-control study.","/pubmed/31196471","Afshari K, Chabok A, Naredi P, Smedh K, Nikberg M.","Surg Oncol. 2019 Jun;29:102-106. doi: 10.1016/j.suronc.2019.04.005. Epub 2019 Apr 11.","Surg Oncol.  2019","PubMed","citation","PMID:31196471","pubmed","31196471","create date:2019/06/15 | first author:Afshari K",
"Hepatectomy for metachronous colorectal liver metastases following complete cytoreductive surgery and hyperthermic intraperitoneal chemotherapy for peritoneal metastases: a report of three cases.","/pubmed/31196097","Ito K, Takemura N, Inagaki F, Mihara F, Kurokawa T, Gohda Y, Kiyomatsu T, Yano H, Kokudo N.","World J Surg Oncol. 2019 Jun 13;17(1):99. doi: 10.1186/s12957-019-1646-0.","World J Surg Oncol.  2019","PubMed","citation","PMID:31196097 | PMCID:PMC6567639","pubmed","31196097","create date:2019/06/15 | first author:Ito K",
"[Case of Hyperammonemia Induced by High-Dose Fluorouracil].","/pubmed/31189842","Hagiwara A, Abe M, Mafune K, Saito M, Kusakabe A.","Gan To Kagaku Ryoho. 2019 May;46(Suppl 1):147-149. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31189842","pubmed","31189842","create date:2019/06/14 | first author:Hagiwara A",
"Evaluation of a strategy using pretherapeutic fiducial marker placement to avoid missing liver metastases.","/pubmed/31183451","Kepenekian V, Muller A, Valette PJ, Rousset P, Chauvenet M, Phelip G, Walter T, Adham M, Glehen O, Passot G.","BJS Open. 2019 Feb 22;3(3):344-353. doi: 10.1002/bjs5.50140. eCollection 2019 Jun.","BJS Open.  2019","PubMed","citation","PMID:31183451 | PMCID:PMC6551408","pubmed","31183451","create date:2019/06/12 | first author:Kepenekian V",
"Prognosis in patients with synchronous colorectal cancer metastases after complete resection of the primary tumor and the metastases.","/pubmed/31168858","Stelzner S, Radulova-Mauersberger O, Zschuppe E, Kittner T, Abolmaali N, Puffer E, Zimmer J, Witzigmann H.","J Surg Oncol. 2019 Sep;120(3):438-445. doi: 10.1002/jso.25578. Epub 2019 Jun 5.","J Surg Oncol.  2019","PubMed","citation","PMID:31168858","pubmed","31168858","create date:2019/06/07 | first author:Stelzner S",
"[Long-Term Effectiveness of Chemotherapy Containing mFOLFOX6 plus Panitumumab and 5-FU/l-LV plus Panitumumab after Primary Tumor Resection in a Case of Ascending Colon Carcinoma and Multiple Hepatic Metastases].","/pubmed/31164512","Kitahama T, Gomyo Y, Okada I, Akita N, Ikeno T, Miyamoto H.","Gan To Kagaku Ryoho. 2019 Apr;46(4):709-712. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31164512","pubmed","31164512","create date:2019/06/06 | first author:Kitahama T",
"Prognostic significance of primary tumor sidedness in patients undergoing liver resection for metastatic colorectal cancer.","/pubmed/31155452","Elizabeth McCracken EK, Samsa GP, Fisher DA, Farrow NE, Landa K, Shah KN, Blazer DG 3rd, Zani S.","HPB (Oxford). 2019 Dec;21(12):1667-1675. doi: 10.1016/j.hpb.2019.03.365. Epub 2019 May 30.","HPB (Oxford).  2019","PubMed","citation","PMID:31155452","pubmed","31155452","create date:2019/06/04 | first author:Elizabeth McCracken EK",
"Primary tumour location affects survival after resection of colorectal liver metastases: A two-institutional cohort study with international validation, systematic meta-analysis and a clinical risk score.","/pubmed/31150437","Gasser E, Braunwarth E, Riedmann M, Cardini B, Fadinger N, Presl J, Klieser E, Ellmerer P, Dupré A, Imai K, Malik H, Baba H, Ulmer H, Schneeberger S, Öfner D, Dinnewitzer A, Stättner S, Primavesi F.","PLoS One. 2019 May 31;14(5):e0217411. doi: 10.1371/journal.pone.0217411. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31150437 | PMCID:PMC6544347","pubmed","31150437","create date:2019/06/01 | first author:Gasser E",
"Highlights, limitations and future challenges of laparoscopic resection for colorectal liver metastases.","/pubmed/31101548","Guilbaud T, Marchese U, Gayet B, Fuks D.","J Visc Surg. 2019 Sep;156(4):329-337. doi: 10.1016/j.jviscsurg.2019.04.006. Epub 2019 May 14.","J Visc Surg.  2019","PubMed","citation","PMID:31101548","pubmed","31101548","create date:2019/05/19 | first author:Guilbaud T",
"Retrospective comparison of efficacy and safety of CAPOX and FOLFOX regimens as adjuvant treatment in patients with stage III colon cancer.","/pubmed/31099282","Degirmencioglu S, Tanrıverdi O, Demiray AG, Senol H, Dogu GG, Yaren A.","J Int Med Res. 2019 Jun;47(6):2507-2515. doi: 10.1177/0300060519848258. Epub 2019 May 17.","J Int Med Res.  2019","PubMed","citation","PMID:31099282 | PMCID:PMC6567718","pubmed","31099282","create date:2019/05/18 | first author:Degirmencioglu S",
"Primary hepatic gastrointestinal stromal tumor with right adrenal gland invasion: A case report and systematic literature review.","/pubmed/31096446","Xu L, Zhang M, Xu M.","Medicine (Baltimore). 2019 May;98(20):e15482. doi: 10.1097/MD.0000000000015482.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31096446 | PMCID:PMC6531123","pubmed","31096446","create date:2019/05/18 | first author:Xu L",
"Immunomodulatory Changes Following Isolated RF Ablation in Colorectal Liver Metastases: A Case Report.","/pubmed/31085982","Janikashvili N, Jayant K, Kikodze N, Mazmishvili K, Pantsulaia I, Sandhu B, Podda M, Iobadze M, Azrumelashvili T, Mizandari M, Habib N, Chikovani T.","Medicines (Basel). 2019 May 13;6(2). pii: E56. doi: 10.3390/medicines6020056.","Medicines (Basel).  2019","PubMed","citation","PMID:31085982 | PMCID:PMC6631927","pubmed","31085982","create date:2019/05/16 | first author:Janikashvili N",
"The primary tumor location impacts survival outcome of colorectal liver metastases after hepatic resection: A systematic review and meta-analysis.","/pubmed/31054852","Liu W, Wang HW, Wang K, Xing BC.","Eur J Surg Oncol. 2019 Aug;45(8):1349-1356. doi: 10.1016/j.ejso.2019.04.017. Epub 2019 Apr 25. Review.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:31054852","pubmed","31054852","create date:2019/05/06 | first author:Liu W",
"Long-term outcome and prognostic factors for patients with para-aortic lymph node dissection in left-sided colorectal cancer.","/pubmed/31044284","Sahara K, Watanabe J, Ishibe A, Suwa Y, Suwa H, Ota M, Kunisaki C, Endo I.","Int J Colorectal Dis. 2019 Jun;34(6):1121-1129. doi: 10.1007/s00384-019-03294-2. Epub 2019 May 1.","Int J Colorectal Dis.  2019","PubMed","citation","PMID:31044284","pubmed","31044284","create date:2019/05/03 | first author:Sahara K",
"Associating liver partition and portal vein ligation for staged hepatectomy in Qatar: Initial experience with two case series and review of the literature.","/pubmed/31029782","Sulieman I, Elmoghazy W, Ghali MS, Mahfouz A, Elaffandi A, Khalaf H.","Int J Surg Case Rep. 2019;58:108-116. doi: 10.1016/j.ijscr.2019.03.060. Epub 2019 Apr 6.","Int J Surg Case Rep.  2019","PubMed","citation","PMID:31029782 | PMCID:PMC6487366","pubmed","31029782","create date:2019/04/29 | first author:Sulieman I",
"Partial response after treatment with Conversion chemotherapy: A case report of a patient with colon cancer and unresectable hepatic metastases.","/pubmed/31027071","Bu Z, Lu C, Yang X, Lai H, Jiang Y, Li Y, Lin Y, Qin Y, Xiao M, Cheng C, Liu Q.","Medicine (Baltimore). 2019 Apr;98(17):e15239. doi: 10.1097/MD.0000000000015239.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31027071 | PMCID:PMC6831392","pubmed","31027071","create date:2019/04/28 | first author:Bu Z",
"Adjuvant hepatic arterial infusion pump chemotherapy and resection versus resection alone in patients with low-risk resectable colorectal liver metastases - the multicenter randomized controlled PUMP trial.","/pubmed/30953467","Buisman FE, Homs MYV, Grünhagen DJ, Filipe WF, Bennink RJ, Besselink MGH, Borel Rinkes IHM, Bruijnen RCG, Cercek A, D'Angelica MI, van Delden OM, Donswijk ML, van Doorn L, Doornebosch PG, Emmering J, Erdmann JI, IJzerman NS, Grootscholten C, Hagendoorn J, Kemeny NE, Kingham TP, Klompenhouwer EG, et al.","BMC Cancer. 2019 Apr 5;19(1):327. doi: 10.1186/s12885-019-5515-6.","BMC Cancer.  2019","PubMed","citation","PMID:30953467 | PMCID:PMC6451273","pubmed","30953467","create date:2019/04/07 | first author:Buisman FE",
"Lymph node yield and tumour subsite are associated with survival in stage I-III colon cancer: results from a national cohort study.","/pubmed/30940175","Lykke J, Rosenberg J, Jess P, Roikjaer O; Danish Colorectal Cancer Group..","World J Surg Oncol. 2019 Apr 2;17(1):62. doi: 10.1186/s12957-019-1604-x.","World J Surg Oncol.  2019","PubMed","citation","PMID:30940175 | PMCID:PMC6446268","pubmed","30940175","create date:2019/04/04 | first author:Lykke J",
"The METABANK score: A clinical tool to predict survival after stereotactic radiotherapy for oligometastatic disease.","/pubmed/30935566","Van den Begin R, Engels B, Collen C, de Vin T, Defauw A, Dubaere E, Barbé K, De Ridder M.","Radiother Oncol. 2019 Apr;133:113-119. doi: 10.1016/j.radonc.2019.01.001. Epub 2019 Jan 24.","Radiother Oncol.  2019","PubMed","citation","PMID:30935566","pubmed","30935566","create date:2019/04/03 | first author:Van den Begin R",
"Loss of LKB1 Protein Expression Correlates with Increased Risk of Recurrence and Death in Patients with Resected, Stage II or III Colon Cancer.","/pubmed/30913862","Sfakianaki M, Papadaki C, Tzardi M, Trypaki M, Alam S, Lagoudaki ED, Messaritakis I, Zoras O, Mavroudis D, Georgoulias V, Souglakos J.","Cancer Res Treat. 2019 Oct;51(4):1518-1526. doi: 10.4143/crt.2019.008. Epub 2019 Mar 20.","Cancer Res Treat.  2019","PubMed","citation","PMID:30913862 | PMCID:PMC6790836","pubmed","30913862","create date:2019/03/28 | first author:Sfakianaki M",
"A Case Presentation of a Patient with Microsatellite Instability and BRAF Mutant Metastatic Colon Cancer and Bibliography Update.","/pubmed/30911424","Thomopoulou K, Tzardi M, Mavroudis D, Souglakos I.","Case Rep Oncol Med. 2019 Feb 17;2019:4767019. doi: 10.1155/2019/4767019. eCollection 2019.","Case Rep Oncol Med.  2019","PubMed","citation","PMID:30911424 | PMCID:PMC6398041","pubmed","30911424","create date:2019/03/27 | first author:Thomopoulou K",
"Improvement of Metastatic Colorectal Cancer Patient Survival: Single Institution Experience.","/pubmed/30884763","Fenocchio E, Colombi F, Calella MG, Filippi R, Depetris I, Chilà G, Lombardi P, Marino D, Cagnazzo C, Ferraris R, Vaira M, Aglietta M, Leone F.","Cancers (Basel). 2019 Mar 15;11(3). pii: E369. doi: 10.3390/cancers11030369.","Cancers (Basel).  2019","PubMed","citation","PMID:30884763 | PMCID:PMC6468423","pubmed","30884763","create date:2019/03/20 | first author:Fenocchio E",
"Clinicopathological and molecular differences in colorectal cancer according to location.","/pubmed/30854932","Hsu YL, Lin CC, Jiang JK, Lin HH, Lan YT, Wang HS, Yang SH, Chen WS, Lin TC, Lin JK, Lin PC, Chang SC.","Int J Biol Markers. 2019 Mar;34(1):47-53. doi: 10.1177/1724600818807164. Epub 2019 Mar 10.","Int J Biol Markers.  2019","PubMed","citation","PMID:30854932","pubmed","30854932","create date:2019/03/12 | first author:Hsu YL",
"Pulmonary metastasis in newly diagnosed colon-rectal cancer: a population-based nomogram study.","/pubmed/30854572","Huang Y, Zhao M, Yin J, Lu T, Yang X, Yuan G, Li M, Liu Y, Zhan C, Wang Q.","Int J Colorectal Dis. 2019 May;34(5):867-878. doi: 10.1007/s00384-019-03270-w. Epub 2019 Mar 11.","Int J Colorectal Dis.  2019","PubMed","citation","PMID:30854572","pubmed","30854572","create date:2019/03/12 | first author:Huang Y",
"Serum carcinoembryonic antigen to predict recurrence in the follow-up of patients with colorectal cancer.","/pubmed/30852955","Ramphal W, Boeding JRE, van Iwaarden M, Schreinemakers JMJ, Rutten HJT, Crolla RMPH, Gobardhan PD.","Int J Biol Markers. 2019 Mar;34(1):60-68. doi: 10.1177/1724600818820679. Epub 2019 Mar 11.","Int J Biol Markers.  2019","PubMed","citation","PMID:30852955","pubmed","30852955","create date:2019/03/12 | first author:Ramphal W",
"Multicentre validation of a clinical prognostic score integrating the systemic inflammatory response to the host for patients treated with curative-intent for colorectal liver metastases: The Liverpool score.","/pubmed/30827803","Dupré A, Berhane S, Chan AWH, Rivoire M, Chong CCN, Lai PBS, Cucchetti A, Poston GJ, Malik HZ, Johnson PJ.","Eur J Surg Oncol. 2019 Jun;45(6):999-1004. doi: 10.1016/j.ejso.2019.02.022. Epub 2019 Feb 21.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:30827803","pubmed","30827803","create date:2019/03/05 | first author:Dupré A",
"Two-Stage Hepatectomy and ALPPS for Advanced Bilateral Liver Metastases: a Tailored Approach Balancing Risk and Outcome.","/pubmed/30820795","Baumgart J, Jungmann F, Bartsch F, Kloth M, Mittler J, Heinrich S, Lang H.","J Gastrointest Surg. 2019 Dec;23(12):2391-2400. doi: 10.1007/s11605-019-04145-9. Epub 2019 Feb 28.","J Gastrointest Surg.  2019","PubMed","citation","PMID:30820795","pubmed","30820795","create date:2019/03/02 | first author:Baumgart J",
"Treatment sequencing for simultaneous colorectal liver metastases.","/pubmed/30816577","Krell RW, D'Angelica MI.","J Surg Oncol. 2019 Apr;119(5):583-593. doi: 10.1002/jso.25424. Epub 2019 Feb 28. Review.","J Surg Oncol.  2019","PubMed","citation","PMID:30816577","pubmed","30816577","create date:2019/03/01 | first author:Krell RW",
"BRAF V600E and SRC mutations as molecular markers for predicting prognosis and conversion surgery in Stage IV colorectal cancer.","/pubmed/30792536","Shimada Y, Muneoka Y, Nagahashi M, Ichikawa H, Tajima Y, Hirose Y, Ando T, Nakano M, Sakata J, Kameyama H, Takii Y, Ling Y, Okuda S, Takabe K, Wakai T.","Sci Rep. 2019 Feb 21;9(1):2466. doi: 10.1038/s41598-019-39328-6.","Sci Rep.  2019","PubMed","citation","PMID:30792536 | PMCID:PMC6384937","pubmed","30792536","create date:2019/02/23 | first author:Shimada Y",
"Long-Term Outcomes after Surgical Resection for Synchronous or Metachronous Hepatic and Pulmonary Colorectal Cancer Metastases.","/pubmed/30783050","Zizzo M, Galeone C, Braglia L, Ugoletti L, Siciliani A, Nachira D, Margaritora S, Pedrazzoli C, Paci M, Lococo F.","Digestion. 2020;101(2):144-155. doi: 10.1159/000497223. Epub 2019 Feb 15.","Digestion.  2020","PubMed","citation","PMID:30783050","pubmed","30783050","create date:2019/02/21 | first author:Zizzo M",
"Factors predicting ablation site recurrence following percutaneous microwave ablation of colorectal hepatic metastases.","/pubmed/30777696","Urbonas T, Anderson EM, Gordon-Weeks AN, Kabir SI, Soonawalla Z, Silva MA, Gleeson FV, Reddy S.","HPB (Oxford). 2019 Sep;21(9):1175-1184. doi: 10.1016/j.hpb.2019.01.007. Epub 2019 Feb 16.","HPB (Oxford).  2019","PubMed","citation","PMID:30777696","pubmed","30777696","create date:2019/02/20 | first author:Urbonas T",
"The impact of posthepatectomy liver failure on long-term survival after hepatectomy for colorectal liver metastasis.","/pubmed/30777694","Ito T, Sugiura T, Okamura Y, Yamamoto Y, Ashida R, Uesaka K.","HPB (Oxford). 2019 Sep;21(9):1185-1193. doi: 10.1016/j.hpb.2019.01.008. Epub 2019 Feb 16.","HPB (Oxford).  2019","PubMed","citation","PMID:30777694","pubmed","30777694","create date:2019/02/20 | first author:Ito T",
"Significance of Glisson's capsule invasion in patients with colorectal liver metastases undergoing resection.","/pubmed/30712864","Hiroyoshi J, Arita J, Gonoi W, Akamatsu N, Kaneko J, Hasegawa K.","Am J Surg. 2019 Nov;218(5):887-893. doi: 10.1016/j.amjsurg.2019.01.023. Epub 2019 Jan 25.","Am J Surg.  2019","PubMed","citation","PMID:30712864","pubmed","30712864","create date:2019/02/05 | first author:Hiroyoshi J",
"A study of morphological prognostic factors in colorectal cancer and survival analysis.","/pubmed/30706857","Poornakala S, Prema NS.","Indian J Pathol Microbiol. 2019 Jan-Mar;62(1):36-42. doi: 10.4103/IJPM.IJPM_91_18.","Indian J Pathol Microbiol.  2019","PubMed","citation","PMID:30706857","pubmed","30706857","create date:2019/02/02 | first author:Poornakala S",
"[A Case Report of Sigmoid Colon Cancer with a Synchronous Large Liver Metastasis Curatively Resected Following Multidisciplinary Therapy].","/pubmed/30692417","Suzuki Y, Mikamori M, Saito T, Furukawa K, Ohtsuka M, Kishi K, Tanemura M, Akamatsu H.","Gan To Kagaku Ryoho. 2018 Dec;45(13):1979-1981. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30692417","pubmed","30692417","create date:2019/01/30 | first author:Suzuki Y",
"[A Case of Complete Pathological Response of Unresectable Synchronous Colorectal Hepatic Metastasis with Icterus after FOLFOX plus Panitumumab Therapy].","/pubmed/30692330","Umemura K, Miura T, Ishido K, Sakamoto Y, Kudo D, Kimura N, Morohashi H, Hakamada K.","Gan To Kagaku Ryoho. 2018 Dec;45(13):2199-2201. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30692330","pubmed","30692330","create date:2019/01/30 | first author:Umemura K",
"[A Case of Ascending Colon Cancer with Hepatic Metastases Showing Remarkable Efficacy of CapeOX plus Bevacizumab].","/pubmed/30692304","Shimojima Y, Yokomizo H, Okayama S, Yamada Y, Satake M, Yano Y, Asaka S, Usui T, Shiozawa S, Yoshimatsu K, Shimakawa T, Katsube T, Kato H, Naritaka Y.","Gan To Kagaku Ryoho. 2018 Dec;45(13):2120-2122. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30692304","pubmed","30692304","create date:2019/01/30 | first author:Shimojima Y",
